; 18649-Fall-2012
; group #2
; Nipunn Koorapati (nkoorapa)
; Jacob Olson (jholson)
; Nick Mazurek (nmazurek)
; Benet Clark (brclark)
; descriptions.txt

; File name                                  File type   File description

CarButtonControl.java                        Controller  Car Button Controller class
CarPositionControl.java                      Controller  Car Position Controller class
Dispatcher.java                              Controller  Dispatcher controller class
DoorControl.java                             Controller  Door Controller class
DriveControl.java                            Controller  Drive Controller class
HallButtonControl.java                       Controller  Hall Button Controller class
LanternControl.java                          Controller  Lantern Controller class
CarCallCanPayloadTranslator.java             Translator  CAN Payload translator for mCarCall
CarLightCanPayloadTranslator.java            Translator  CAN Payload translator for mCarLight
CarLanternCanPayloadTranslator.java          Translator  CAN Payload translator for mCarLantern
DesiredDwellCanPayloadTranslator.java        Translator  CAN Payload translator for mDesiredDwell
DesiredFloorCanPayloadTranslator.java        Translator  CAN Payload translator for mDesiredFloor
DriveCommandCanPayloadTranslator.java        Translator  CAN Payload translator for mDrive
DoorMotorCanPayloadTranslator.java           Translator  CAN Payload translator for mDoorMotor
DriveSpeedCanPayloadTranslator.java          Translator  CAN Payload translator for mDriveSpeed
HallCallCanPayloadTranslator.java            Translator  CAN Payload translator for mHallCall
HallLightCanPayloadTranslator.java           Translator  CAN Payload translator for mHallLight
OurBooleanCanPayloadTranslator.java          Translator  CAN Payload translator for boolean values
OurCarLevelPositionCanPayloadTranslator.java Translator CAN Payload translator for mCarLevelPosition
OurIntegerCanPayloadTranslator.java          Translator  CAN Payload translator for integer values
MessageDictionary.java                       Utility     Contains the CAN ID's of all messages
MessageLengths.java                          Utility     Contains the message lengths of all messages
Proj7RuntimeMonitor.java                     Utility     Monitors overweight occurrences, wasted door openings, and door reversal times
Proj11RuntimeMonitor.java                    Utility     Monitors R-T6 through R-T10 high level requirements
R_T6RuntimeMonitor.java                      Utility     Holds state machine for R-T6 requirement checking
R_T7RuntimeMonitor.java                      Utility     Holds state machine for R-T7 requirement checking
R_T81RuntimeMonitor.java                     Utility     Holds state machine for R-T8.1 requirement checking
R_T82RuntimeMonitor.java                     Utility     Holds state machine for R-T8.2 requirement checking
R_T83RuntimeMonitor.java                     Utility     Holds state machine for R-T8.3 requirement checking
Utility.java                                 Utility     Used to handle multiple of the same modules
